subject	file	item	trial	F1	F2
ksz	vowels	had	1	874.5998953922832	1732.828440990852
ksz	vowels	had	2	808.437829718694	1704.2536121348373
ksz	vowels	had	3	697.9938295170617	1668.6253256282685
ksz	vowels	hard	1	385.11700499066166	941.6733158889629
ksz	vowels	hard	2	438.1256680504821	994.3263155119063
ksz	vowels	hard	3	402.78945459446754	1094.2395574148386
ksz	vowels	head	1	555.1930331686453	2023.0820706073405
ksz	vowels	head	2	661.6657620417412	1997.8036705934667
ksz	vowels	head	3	595.9985511279813	1955.9533758060622
ksz	vowels	heed	1	293.88402824655816	1949.161943944113
ksz	vowels	heed	2	297.45122252502	2052.999809392678
ksz	vowels	heed	3	295.6259631963695	2115.038426471713
ksz	vowels	herd	1	323.68621417377966	1633.9500748873056
ksz	vowels	herd	2	301.40193770196015	1659.213520138925
ksz	vowels	herd	3	336.148209957827	1590.2368994576896
ksz	vowels	hid	1	320.9423351398934	1926.662487747198
ksz	vowels	hid	2	303.6050293241577	1891.2407815089364
ksz	vowels	hid	3	291.52585875727425	1917.2677420607056
ksz	vowels	hoard	1	335.9436763996748	808.7691013294703
ksz	vowels	hoard	2	345.79469428777713	777.1650671292923
ksz	vowels	hoard	3	363.15592215359925	848.1048241094762
ksz	vowels	hod	1	437.22449669879563	976.1665403710535
ksz	vowels	hod	2	366.7632935429697	994.7391098821466
ksz	vowels	hod	3	476.90999256591135	1021.1289718281819
ksz	vowels	hood	1	338.1918993288291	1460.5738547149228
ksz	vowels	hood	2	299.73595262907406	1557.976716406716
ksz	vowels	hood	3	339.657456078187	1517.1548143543594
ksz	vowels	hud	1	386.24885121522743	1466.0925638100089
ksz	vowels	hud	2	348.2926705189461	1498.8714299115243
ksz	vowels	hud	3	405.81631229276616	1469.0804747654138
ksz	vowels	whod	1	306.27627490785886	1459.1663254046714
ksz	vowels	whod	2	298.1978647890799	1528.2048056838496
ksz	vowels	whod	3	324.9910824667954	1580.7177941124605
